Timestamp,Price,Date
2015-02-25 00:00:00.000000000,1.21016,2015-02-25 00:00:00.000000000
2015-03-02 00:00:00.000000000,0.572521,2015-03-02 00:00:00.000000000
2015-03-06 00:00:00.000000000,1.0,2015-03-06 00:00:00.000000000
2015-03-07 00:00:00.000000000,1.0,2015-03-07 00:00:00.000000000
2015-03-08 00:00:00.000000000,1.0,2015-03-08 00:00:00.000000000
2015-03-09 00:00:00.000000000,1.0,2015-03-09 00:00:00.000000000
2015-03-10 00:00:00.000000000,1.0,2015-03-10 00:00:00.000000000
2015-03-11 00:00:00.000000000,1.0,2015-03-11 00:00:00.000000000
2015-03-12 00:00:00.000000000,1.0,2015-03-12 00:00:00.000000000
2015-03-13 00:00:00.000000000,1.0,2015-03-13 00:00:00.000000000
2015-03-14 00:00:00.000000000,1.0,2015-03-14 00:00:00.000000000
2015-03-15 00:00:00.000000000,1.0,2015-03-15 00:00:00.000000000
2015-03-16 00:00:00.000000000,1.0,2015-03-16 00:00:00.000000000
2015-03-17 00:00:00.000000000,1.0,2015-03-17 00:00:00.000000000
2015-03-18 00:00:00.000000000,1.0,2015-03-18 00:00:00.000000000
2015-03-19 00:00:00.000000000,1.0,2015-03-19 00:00:00.000000000
2015-03-20 00:00:00.000000000,1.0,2015-03-20 00:00:00.000000000
2015-03-21 00:00:00.000000000,1.0,2015-03-21 00:00:00.000000000
2015-03-22 00:00:00.000000000,1.0,2015-03-22 00:00:00.000000000
2015-03-23 00:00:00.000000000,1.0,2015-03-23 00:00:00.000000000
2015-03-24 00:00:00.000000000,1.0,2015-03-24 00:00:00.000000000
2015-03-25 00:00:00.000000000,1.0,2015-03-25 00:00:00.000000000
2015-03-26 00:00:00.000000000,1.0,2015-03-26 00:00:00.000000000
2015-03-27 00:00:00.000000000,1.0,2015-03-27 00:00:00.000000000
2015-03-28 00:00:00.000000000,1.0,2015-03-28 00:00:00.000000000
2015-03-29 00:00:00.000000000,1.0,2015-03-29 00:00:00.000000000
2015-03-30 00:00:00.000000000,1.0,2015-03-30 00:00:00.000000000
2015-03-31 00:00:00.000000000,1.0,2015-03-31 00:00:00.000000000
2015-04-02 00:00:00.000000000,1.0,2015-04-02 00:00:00.000000000
2015-04-03 00:00:00.000000000,1.0,2015-04-03 00:00:00.000000000
2015-04-04 00:00:00.000000000,1.0,2015-04-04 00:00:00.000000000
2015-04-05 00:00:00.000000000,1.0,2015-04-05 00:00:00.000000000
2015-04-06 00:00:00.000000000,1.0,2015-04-06 00:00:00.000000000
2015-04-07 00:00:00.000000000,1.0,2015-04-07 00:00:00.000000000
2015-04-08 00:00:00.000000000,1.0,2015-04-08 00:00:00.000000000
2015-04-09 00:00:00.000000000,1.0,2015-04-09 00:00:00.000000000
2015-04-10 00:00:00.000000000,1.0,2015-04-10 00:00:00.000000000
2015-04-11 00:00:00.000000000,1.0,2015-04-11 00:00:00.000000000
2015-04-12 00:00:00.000000000,1.0,2015-04-12 00:00:00.000000000
2015-04-13 00:00:00.000000000,1.0,2015-04-13 00:00:00.000000000
2015-04-14 00:00:00.000000000,1.0,2015-04-14 00:00:00.000000000
2015-04-15 00:00:00.000000000,1.0,2015-04-15 00:00:00.000000000
2015-04-16 00:00:00.000000000,1.0,2015-04-16 00:00:00.000000000
2015-04-17 00:00:00.000000000,1.0,2015-04-17 00:00:00.000000000
2015-04-18 00:00:00.000000000,1.0,2015-04-18 00:00:00.000000000
2015-04-19 00:00:00.000000000,1.0,2015-04-19 00:00:00.000000000
2015-04-20 00:00:00.000000000,1.0,2015-04-20 00:00:00.000000000
2015-04-21 00:00:00.000000000,1.0,2015-04-21 00:00:00.000000000
2015-04-22 00:00:00.000000000,1.0,2015-04-22 00:00:00.000000000
2015-04-23 00:00:00.000000000,1.0,2015-04-23 00:00:00.000000000
2015-04-24 00:00:00.000000000,1.0,2015-04-24 00:00:00.000000000
2015-04-25 00:00:00.000000000,1.0,2015-04-25 00:00:00.000000000
2015-04-26 00:00:00.000000000,1.0,2015-04-26 00:00:00.000000000
2015-04-27 00:00:00.000000000,1.0,2015-04-27 00:00:00.000000000
2015-04-28 00:00:00.000000000,1.0,2015-04-28 00:00:00.000000000
2015-04-29 00:00:00.000000000,1.0,2015-04-29 00:00:00.000000000
2015-04-30 00:00:00.000000000,1.0,2015-04-30 00:00:00.000000000
2015-05-01 00:00:00.000000000,1.0,2015-05-01 00:00:00.000000000
2015-05-02 00:00:00.000000000,1.0,2015-05-02 00:00:00.000000000
2015-05-03 00:00:00.000000000,1.0,2015-05-03 00:00:00.000000000
2015-05-04 00:00:00.000000000,1.0,2015-05-04 00:00:00.000000000
2015-05-05 00:00:00.000000000,1.0,2015-05-05 00:00:00.000000000
2015-05-06 00:00:00.000000000,1.0,2015-05-06 00:00:00.000000000
2015-05-07 00:00:00.000000000,1.0,2015-05-07 00:00:00.000000000
2015-05-08 00:00:00.000000000,1.0,2015-05-08 00:00:00.000000000
2015-05-09 00:00:00.000000000,1.0,2015-05-09 00:00:00.000000000
2015-05-10 00:00:00.000000000,1.0,2015-05-10 00:00:00.000000000
2015-05-11 00:00:00.000000000,1.0,2015-05-11 00:00:00.000000000
2015-05-12 00:00:00.000000000,1.0,2015-05-12 00:00:00.000000000
2015-05-13 00:00:00.000000000,1.0,2015-05-13 00:00:00.000000000
2015-05-14 00:00:00.000000000,1.0,2015-05-14 00:00:00.000000000
2015-05-15 00:00:00.000000000,1.0,2015-05-15 00:00:00.000000000
2015-05-16 00:00:00.000000000,1.0,2015-05-16 00:00:00.000000000
