Timestamp,Price
1608595200.0,617.1649966237076
1608681600.0,617.1649966237076
1608768000.0,596.7677113169867
1608854400.0,611.5047123866868
1608940800.0,624.8004202305107
1609027200.0,629.0666564890665
1609113600.0,678.0991409249748
1609200000.0,730.4192863701766
1609286400.0,722.7676805784541
1609372800.0,722.2828760791737
1609459200.0,733.3186200214205
1609545600.0,723.5314329233858
1609632000.0,772.0626849149918
1609718400.0,977.5678400984992
1609804800.0,966.8978757629144
1609891200.0,1113.9010557940437
1609977600.0,1173.3314353182077
1610064000.0,1223.4467832598373
1610150400.0,1224.7829944332022
1610236800.0,1247.308135031523
1610323200.0,1279.3605770058432
1610409600.0,1087.2141097118467
1610496000.0,1051.1076614383398
1610582400.0,1137.3555154821463
1610668800.0,1215.0340174070896
1610755200.0,1160.6440942912907
1610841600.0,1219.3826646568334
1610928000.0,1193.8335285214778
1611014400.0,1246.2501791878278
1611100800.0,1374.7240388132666
1611187200.0,1328.3856147705762
1611273600.0,1110.6621459785124
1611360000.0,1207.5312269124056
1611446400.0,1241.668428386274
1611532800.0,1332.3202314378657
1611619200.0,1323.3040641583143
1611705600.0,1360.2115687998769
1611792000.0,1243.595224170501
1611878400.0,1368.3391492074202
1611964800.0,1304.4668986578768
1612051200.0,1273.1234207184214
1612137600.0,1329.0060049071658
1612224000.0,1346.727804117627
1612310400.0,1545.668488399302
1612396800.0,1624.4271769527734
1612483200.0,1594.5501325761145
1612569600.0,1731.4765363608394
1612656000.0,1682.1317132892252
1612742400.0,1613.6562507350425
1612828800.0,1743.1164967557165
1612915200.0,1737.4069511231507
1613001600.0,1678.9084954200857
1613088000.0,1798.0872307302586
1613174400.0,1808.9937662840844
1613260800.0,1802.506848236632
1613347200.0,1803.1335151240144
1613433600.0,1791.3660700001963
1613520000.0,1767.6486962208423
1613606400.0,1817.0772481913507
1613692800.0,1875.8958846505727
1613779200.0,1914.1747444127998
1613865600.0,1894.5326870185472
1613952000.0,1879.9640575572173
1614038400.0,1732.0358048010432
1614124800.0,1549.6964722163054
1614211200.0,1613.9529066806986
1614297600.0,1485.5447370020397
1614384000.0,1445.7488463463906
1614470400.0,1461.0588692964116
1614556800.0,1409.6498807762928
1614643200.0,1551.5599396781754
1614729600.0,1483.3575096171016
1614816000.0,1502.8566962268505
1614902400.0,1511.7771289697628
1614988800.0,1519.5798352054483
1615075200.0,1593.8697077830298
1615161600.0,1627.9380014697897
1615248000.0,1728.0620627155777
1615334400.0,1781.7930417126202
1615420800.0,1778.5293720889251
1615507200.0,1781.8780907806092
1615593600.0,1740.263754328333
1615680000.0,1891.0786378878956
1615766400.0,1813.448773450634
1615852800.0,1744.3643019692206
1615939200.0,1759.3685652353693
1616025600.0,1731.4616286672401
1616112000.0,1699.7323786280265
1616198400.0,1772.2577285366253
1616284800.0,1732.1929046545426
1616371200.0,1699.8196254046538
1616457600.0,1588.6239743431677
1616544000.0,1579.5926379576288
1616630400.0,1493.2380916128059
1616716800.0,1498.3688063294996
1616803200.0,1593.868325515618
1616889600.0,1624.8156676224924
1616976000.0,1601.6103450163978
1617062400.0,1716.8936243277683
1617148800.0,1742.0162918602775
1617235200.0,1957.0555448157377
1617321600.0,1996.1222639108437
1617408000.0,2091.7340491444193
1617494400.0,2054.6633919914807
1617580800.0,2098.6603309217385
1617667200.0,2125.725733360798
1617753600.0,2148.3371962559336
1617840000.0,2026.0049847506043
1617926400.0,2078.7026010783047
1618012800.0,2046.5888023983837
1618099200.0,2106.347017713862
1618185600.0,2117.574499255428
1618272000.0,2120.9323363011213
1618358400.0,2255.326349601962
1618444800.0,2344.587388180975
1618531200.0,2444.6217986210054
1618617600.0,2347.06970462939
1618704000.0,2277.2557479864363
1618790400.0,2171.64698207999
1618876800.0,2158.4666145601723
1618963200.0,2215.3781008654228
1619049600.0,2294.700719477077
1619136000.0,2335.2102233718106
1619222400.0,2253.902603151857
1619308800.0,2188.4086211927265
1619395200.0,2277.552315020002
1619481600.0,2436.778487944533
1619568000.0,2678.8735965312226
1619654400.0,2774.5813700245208
1619740800.0,2774.3526944676128
1619827200.0,2689.4091826183712
1619913600.0,2867.0008200148714
1620000000.0,2872.241274182734
1620086400.0,3322.161939619979
1620172800.0,3253.483985554426
1620259200.0,3507.5674842655912
1620345600.0,3481.538939627244
1620432000.0,3466.4510158776084
1620518400.0,3893.7036487122223
1620604800.0,3908.0317598510605
1620691200.0,3998.4359433464997
1620777600.0,4087.7556914839306
1620864000.0,3936.137737674107
1620950400.0,3687.78168533037
1621036800.0,4066.371413302283
1621123200.0,3793.9328258871333
1621209600.0,3578.828534191375
1621296000.0,3280.4596998461175
1621382400.0,3327.276910059446
1621468800.0,2469.5820319152413
1621555200.0,2738.7558636932326
1621641600.0,2393.131601681522
1621728000.0,2291.951272383459
1621814400.0,2107.1096801280564
1621900800.0,2605.9755304831187
1621987200.0,2692.770315645141
1622073600.0,2864.9359668592583
1622160000.0,2737.561140172022
1622246400.0,2416.3744337252556
1622332800.0,2284.5217123444268
1622419200.0,2380.7152618390073
1622505600.0,2686.587504263337
1622592000.0,2629.82439468256
1622678400.0,2709.8252454444087
1622764800.0,2871.0438122979585
1622851200.0,2686.4342464554893
1622937600.0,2589.516060618161
1623024000.0,2703.3800747943146
1623110400.0,2589.644352154117
1623196800.0,2525.3271219928274
1623283200.0,2619.8681110558573
1623369600.0,2487.4110950786517
1623456000.0,2350.349074624293
1623542400.0,2381.8254607909585
1623628800.0,2501.981172760692
1623715200.0,2586.2766548728714
1623801600.0,2555.228993516616
