Timestamp,Price,Date
2020-12-22,617.1649966237076,2020-12-22
2020-12-23,617.1649966237076,2020-12-23
2020-12-24,596.7677113169867,2020-12-24
2020-12-25,611.5047123866868,2020-12-25
2020-12-26,624.8004202305107,2020-12-26
2020-12-27,629.0666564890665,2020-12-27
2020-12-28,678.0991409249748,2020-12-28
2020-12-29,730.4192863701766,2020-12-29
2020-12-30,722.7676805784541,2020-12-30
2020-12-31,722.2828760791737,2020-12-31
2021-01-01,733.3186200214205,2021-01-01
2021-01-02,723.5314329233858,2021-01-02
2021-01-03,772.0626849149918,2021-01-03
2021-01-04,977.5678400984992,2021-01-04
2021-01-05,966.8978757629144,2021-01-05
2021-01-06,1113.9010557940435,2021-01-06
2021-01-07,1173.3314353182077,2021-01-07
2021-01-08,1223.4467832598373,2021-01-08
2021-01-09,1224.7829944332022,2021-01-09
2021-01-10,1247.308135031523,2021-01-10
2021-01-11,1279.3605770058432,2021-01-11
2021-01-12,1087.2141097118467,2021-01-12
2021-01-13,1051.1076614383398,2021-01-13
2021-01-14,1137.3555154821463,2021-01-14
2021-01-15,1215.0340174070896,2021-01-15
2021-01-16,1160.644094291291,2021-01-16
2021-01-17,1219.3826646568334,2021-01-17
2021-01-18,1193.8335285214778,2021-01-18
2021-01-19,1246.2501791878278,2021-01-19
2021-01-20,1374.7240388132666,2021-01-20
2021-01-21,1328.3856147705762,2021-01-21
2021-01-22,1110.6621459785124,2021-01-22
2021-01-23,1207.5312269124056,2021-01-23
2021-01-24,1241.668428386274,2021-01-24
2021-01-25,1332.3202314378657,2021-01-25
2021-01-26,1323.3040641583143,2021-01-26
2021-01-27,1360.2115687998769,2021-01-27
2021-01-28,1243.595224170501,2021-01-28
2021-01-29,1368.3391492074202,2021-01-29
2021-01-30,1304.4668986578768,2021-01-30
2021-01-31,1273.1234207184214,2021-01-31
2021-02-01,1329.0060049071658,2021-02-01
2021-02-02,1346.727804117627,2021-02-02
2021-02-03,1545.668488399302,2021-02-03
2021-02-04,1624.4271769527734,2021-02-04
2021-02-05,1594.5501325761145,2021-02-05
2021-02-06,1731.4765363608394,2021-02-06
2021-02-07,1682.1317132892252,2021-02-07
2021-02-08,1613.6562507350425,2021-02-08
2021-02-09,1743.1164967557163,2021-02-09
2021-02-10,1737.4069511231507,2021-02-10
2021-02-11,1678.9084954200855,2021-02-11
2021-02-12,1798.0872307302586,2021-02-12
2021-02-13,1808.9937662840844,2021-02-13
2021-02-14,1802.506848236632,2021-02-14
2021-02-15,1803.1335151240144,2021-02-15
2021-02-16,1791.3660700001965,2021-02-16
2021-02-17,1767.6486962208423,2021-02-17
2021-02-18,1817.0772481913507,2021-02-18
2021-02-19,1875.8958846505727,2021-02-19
2021-02-20,1914.1747444128,2021-02-20
2021-02-21,1894.5326870185472,2021-02-21
2021-02-22,1879.9640575572173,2021-02-22
2021-02-23,1732.0358048010432,2021-02-23
2021-02-24,1549.6964722163054,2021-02-24
2021-02-25,1613.9529066806986,2021-02-25
2021-02-26,1485.5447370020397,2021-02-26
2021-02-27,1445.7488463463906,2021-02-27
2021-02-28,1461.0588692964116,2021-02-28
2021-03-01,1409.6498807762928,2021-03-01
2021-03-02,1551.5599396781754,2021-03-02
2021-03-03,1483.3575096171016,2021-03-03
2021-03-04,1502.8566962268503,2021-03-04
2021-03-05,1511.7771289697628,2021-03-05
2021-03-06,1519.5798352054485,2021-03-06
2021-03-07,1593.8697077830298,2021-03-07
2021-03-08,1627.9380014697897,2021-03-08
2021-03-09,1728.0620627155777,2021-03-09
2021-03-10,1781.7930417126202,2021-03-10
2021-03-11,1778.5293720889251,2021-03-11
2021-03-12,1781.8780907806092,2021-03-12
2021-03-13,1740.263754328333,2021-03-13
2021-03-14,1891.078637887896,2021-03-14
2021-03-15,1813.448773450634,2021-03-15
2021-03-16,1744.3643019692206,2021-03-16
2021-03-17,1759.3685652353693,2021-03-17
2021-03-18,1731.46162866724,2021-03-18
2021-03-19,1699.7323786280265,2021-03-19
2021-03-20,1772.257728536625,2021-03-20
2021-03-21,1732.1929046545426,2021-03-21
2021-03-22,1699.8196254046538,2021-03-22
2021-03-23,1588.6239743431677,2021-03-23
2021-03-24,1579.5926379576288,2021-03-24
2021-03-25,1493.238091612806,2021-03-25
2021-03-26,1498.3688063294996,2021-03-26
2021-03-27,1593.868325515618,2021-03-27
2021-03-28,1624.8156676224924,2021-03-28
2021-03-29,1601.6103450163978,2021-03-29
2021-03-30,1716.8936243277683,2021-03-30
2021-03-31,1742.0162918602775,2021-03-31
2021-04-01,1957.0555448157377,2021-04-01
2021-04-02,1996.122263910844,2021-04-02
2021-04-03,2091.7340491444197,2021-04-03
2021-04-04,2054.6633919914807,2021-04-04
2021-04-05,2098.6603309217385,2021-04-05
2021-04-06,2125.725733360798,2021-04-06
2021-04-07,2148.3371962559336,2021-04-07
2021-04-08,2026.0049847506043,2021-04-08
2021-04-09,2078.7026010783047,2021-04-09
2021-04-10,2046.588802398384,2021-04-10
2021-04-11,2106.347017713862,2021-04-11
2021-04-12,2117.574499255428,2021-04-12
2021-04-13,2120.9323363011213,2021-04-13
2021-04-14,2255.326349601962,2021-04-14
2021-04-15,2344.587388180975,2021-04-15
2021-04-16,2444.6217986210054,2021-04-16
2021-04-17,2347.06970462939,2021-04-17
2021-04-18,2277.2557479864363,2021-04-18
2021-04-19,2171.64698207999,2021-04-19
2021-04-20,2158.4666145601723,2021-04-20
2021-04-21,2215.3781008654228,2021-04-21
2021-04-22,2294.700719477077,2021-04-22
